no,ch1,ch2,ch3,ch4
1,-0.006713867,-0.01342773,-0.01464844,-0.003967285
2,-0.01403809,-0.01556396,-0.02532959,-0.02593994
3,-0.02410889,-0.02441406,-0.03509521,-0.03997803
4,-0.03662109,-0.02807617,-0.02258301,-0.02655029
5,-0.04119873,-0.03997803,-0.02197266,-0.008544922
6,-0.03417969,-0.03265381,-0.006103516,0.01190186
7,-0.027771,-0.02563477,0.002746582,0.03234863
8,-0.006713867,-0.01800537,-0.007324219,0.01617432
9,0.002746582,-0.01678467,-0.01464844,-0.009155273
10,-0.007019043,-0.01434326,-0.03143311,-0.02960205
11,-0.03112793,-0.02227783,-0.04638672,-0.04882813
12,-0.05096436,-0.02868652,-0.04302979,-0.04058838
13,-0.05584717,-0.04364014,-0.04058838,-0.02990723
14,-0.04669189,-0.03814697,-0.01922607,-0.003051758
15,-0.03356934,-0.03936768,-0.01525879,0.01251221
16,-0.01464844,-0.02838135,-0.01678467,0.007629395
17,-0.007629395,-0.01586914,-0.01342773,0.002746582
18,-0.009155273,-0.01678467,-0.01983643,-0.01434326
19,-0.01800537,-0.01831055,-0.02960205,-0.03112793
20,-0.03845215,-0.0302124,-0.02838135,-0.02716064
21,-0.03753662,-0.03570557,-0.02746582,-0.0213623
22,-0.03753662,-0.04180908,-0.01922607,0.003967285
23,-0.01647949,-0.03326416,-0.00793457,0.01922607
24,0.001220703,-0.02166748,-0.003356934,0.009460449
25,0.003356934,-0.01403809,0.001525879,-0.003356934
26,-0.0100708,-0.01434326,-0.001525879,-0.004272461
27,-0.01312256,-0.01800537,-0.03112793,-0.03387451
28,-0.03082275,-0.0289917,-0.04394531,-0.05126953
29,-0.04974365,-0.04119873,-0.03936768,-0.03814697
30,-0.05584717,-0.04882813,-0.02410889,-0.009765625
31,-0.04211426,-0.04425049,-0.0100708,0.01678467
32,-0.0201416,-0.03570557,-0.01983643,0.007019043
33,-0.01434326,-0.02441406,-0.01617432,0.0006103516
34,-0.01037598,-0.0213623,-0.01464844,-0.007629395
35,-0.0112915,-0.01556396,-0.0213623,-0.02380371
36,-0.02563477,-0.02441406,-0.03326416,-0.03692627
37,-0.04180908,-0.0402832,-0.03082275,-0.01647949
38,-0.02502441,-0.03417969,-0.02807617,-0.0177002
39,-0.027771,-0.02960205,-0.01159668,0.01312256
40,-0.02105713,-0.02227783,-0.01220703,0.01922607
41,-0.007324219,-0.009765625,-0.008239746,0.01403809
42,-0.01373291,-0.01190186,-0.007629395,0.01586914
43,-0.001525879,-0.01373291,-0.02563477,-0.02227783
44,-0.0100708,-0.01342773,-0.03295898,-0.05065918
45,-0.03723145,-0.03631592,-0.04364014,-0.06072998
46,-0.05126953,-0.03753662,-0.02471924,-0.02929688
47,-0.04669189,-0.0491333,-0.01861572,-0.01617432
48,-0.03051758,-0.0390625,-0.001525879,0.006408691
49,-0.01800537,-0.02960205,-0.01068115,0.001525879
50,-0.02471924,-0.03448486,-0.006103516,0.01251221
51,-0.001831055,-0.02258301,-0.01373291,-0.003051758
52,-0.006408691,-0.01495361,-0.03051758,-0.02868652
53,-0.02227783,-0.01617432,-0.02868652,-0.04608154
54,-0.04180908,-0.03631592,-0.02441406,-0.02807617
55,-0.04302979,-0.03692627,-0.009155273,-0.0009155273
56,-0.03570557,-0.03509521,-0.0003051758,0.02593994
57,-0.01525879,-0.02471924,-0.003967285,0.02227783
58,-0.003356934,-0.01708984,-0.01434326,0.002746582
59,-0.00579834,-0.008850098,-0.01373291,-0.002746582
60,-0.0112915,-0.008850098,-0.03051758,-0.0302124
61,-0.03112793,-0.02166748,-0.04852295,-0.05554199
62,-0.04852295,-0.03143311,-0.04180908,-0.05462646
63,-0.06195068,-0.04974365,-0.02624512,-0.02716064
64,-0.05157471,-0.04333496,-0.008239746,0.008850098
65,-0.03082275,-0.03479004,-0.007324219,0.01953125
66,-0.0177002,-0.02655029,-0.009155273,0.008239746
67,-0.0100708,-0.02166748,-0.006713867,0.0006103516
68,-0.01861572,-0.02563477,-0.02288818,-0.008239746
69,-0.01800537,-0.01861572,-0.03631592,-0.03204346
70,-0.03540039,-0.0289917,-0.03692627,-0.03051758
71,-0.03692627,-0.02532959,-0.02593994,-0.02593994
72,-0.04425049,-0.03448486,-0.006713867,0.007019043
73,-0.02410889,-0.02807617,-0.001831055,0.0189209
74,-0.01251221,-0.01922607,-0.0003051758,0.02349854
75,0.0009155273,-0.01281738,-0.007629395,0.01861572
76,0.002746582,-0.008544922,-0.02624512,-0.00793457
77,-0.007019043,-0.0112915,-0.04333496,-0.04394531
78,-0.03143311,-0.01495361,-0.04302979,-0.05371094
79,-0.05706787,-0.03265381,-0.03662109,-0.04333496
80,-0.05950928,-0.04425049,-0.01922607,-0.01037598
81,-0.0390625,-0.04333496,-0.01159668,0.008239746
82,-0.0213623,-0.03723145,-0.01495361,0.003356934
83,-0.0112915,-0.02410889,-0.005493164,0.005493164
84,-0.01434326,-0.02105713,-0.009155273,0.0100708
85,-0.006408691,-0.01647949,-0.02380371,-0.01678467
86,-0.02044678,-0.02807617,-0.03845215,-0.04089355
87,-0.03326416,-0.03631592,-0.03326416,-0.0378418
88,-0.03997803,-0.03143311,-0.01312256,-0.01800537
89,-0.04608154,-0.03753662,0.003662109,0.02075195
90,-0.0201416,-0.02349854,-0.0003051758,0.02471924
91,-0.01190186,-0.01556396,-0.008850098,0.01586914
92,-0.01281738,-0.01159668,-0.009155273,0.01373291
93,-0.007019043,-0.007629395,-0.02258301,-0.01831055
94,-0.02288818,-0.01678467,-0.03814697,-0.03997803
95,-0.03814697,-0.02807617,-0.03692627,-0.04333496
96,-0.05187988,-0.04425049,-0.03234863,-0.02593994
97,-0.04577637,-0.04730225,-0.02105713,-0.007019043
98,-0.0289917,-0.03082275,-0.01373291,0.007324219
99,-0.01586914,-0.01556396,-0.01068115,0.0003051758
100,-0.01586914,-0.01831055,-0.004577637,0.005187988
101,-0.008239746,-0.01434326,-0.0177002,-0.01037598
102,-0.01556396,-0.01403809,-0.02349854,-0.02502441
103,-0.03173828,-0.0289917,-0.03387451,-0.03204346
104,-0.03723145,-0.0378418,-0.0289917,-0.02655029
105,-0.03997803,-0.04364014,-0.01312256,0.002746582
106,-0.0213623,-0.02990723,0.001831055,0.02807617
107,-0.008544922,-0.02258301,-0.005187988,0.0213623
108,-0.002746582,-0.01922607,-0.007629395,0.01312256
109,0.003967285,-0.0112915,-0.01373291,-0.008239746
110,-0.008239746,-0.009765625,-0.02807617,-0.02746582
111,-0.02746582,-0.01739502,-0.0402832,-0.05523682
112,-0.04882813,-0.03387451,-0.04241943,-0.04638672
113,-0.05950928,-0.04119873,-0.02349854,-0.0201416
114,-0.04760742,-0.05004883,-0.009460449,0.008239746
115,-0.03204346,-0.03601074,-0.003051758,0.0302124
116,-0.01556396,-0.02807617,-0.01617432,0.01434326
117,-0.006408691,-0.01495361,-0.01190186,-0.005493164
118,-0.01525879,-0.01922607,-0.02288818,-0.02258301
119,-0.02288818,-0.01586914,-0.02166748,-0.0302124
120,-0.03692627,-0.03204346,-0.03356934,-0.02655029
121,-0.04364014,-0.04058838,-0.03173828,-0.01098633
122,-0.03265381,-0.03479004,-0.0201416,0.006103516
123,-0.01800537,-0.02288818,0.0009155273,0.02258301
124,-0.005187988,-0.02044678,-0.008850098,0.01342773
125,0.004272461,-0.00793457,-0.00793457,0.002746582
126,0.0003051758,-0.003967285,-0.02044678,-0.02258301
127,-0.01068115,-0.01068115,-0.02990723,-0.04425049
128,-0.03082275,-0.02838135,-0.03723145,-0.05249023
129,-0.04516602,-0.04180908,-0.03662109,-0.03936768
130,-0.04943848,-0.03997803,-0.02380371,-0.009460449
131,-0.03509521,-0.0302124,-0.01312256,0.001525879
132,-0.02716064,-0.02227783,-0.004577637,0.01068115
133,-0.02288818,-0.02410889,-0.009155273,0.005493164
134,-0.01617432,-0.01556396,-0.00579834,0.002441406
135,-0.0112915,-0.01586914,-0.02716064,-0.03326416
136,-0.02655029,-0.02105713,-0.0289917,-0.04608154
137,-0.04547119,-0.03387451,-0.02105713,-0.01922607
138,-0.03814697,-0.03845215,-0.01739502,-0.00793457
139,-0.03234863,-0.03417969,-0.003662109,0.0112915
140,-0.01953125,-0.02075195,-0.0006103516,0.0177002
141,-0.009155273,-0.01251221,-0.007019043,0.01068115
142,-0.003967285,-0.01068115,-0.01281738,-0.0009155273
143,-0.003967285,-0.005493164,-0.02471924,-0.02746582
144,-0.02319336,-0.01556396,-0.03509521,-0.05279541
145,-0.04699707,-0.02868652,-0.03417969,-0.04302979
146,-0.05004883,-0.04425049,-0.03326416,-0.03326416
147,-0.04364014,-0.04608154,-0.02380371,-0.005187988
148,-0.02380371,-0.0289917,-0.01312256,0.008239746
149,-0.0189209,-0.02349854,-0.01098633,0.007019043
150,-0.01159668,-0.01922607,-0.007629395,0.002441406
151,-0.01739502,-0.01556396,-0.01220703,-0.005493164
152,-0.02075195,-0.02655029,-0.02960205,-0.02105713
153,-0.02288818,-0.02960205,-0.03723145,-0.03326416
154,-0.03570557,-0.03601074,-0.03692627,-0.02929688
155,-0.03692627,-0.03265381,-0.01861572,-0.005187988
156,-0.02105713,-0.02532959,-0.003356934,0.01312256
157,-0.00793457,-0.01251221,-0.004577637,0.01495361
158,-0.002746582,-0.005493164,-0.0003051758,0.01068115
159,-0.002746582,-0.006713867,-0.004272461,-0.01373291
160,-0.007324219,-0.02258301,-0.02410889,-0.03753662
161,-0.02288818,-0.02960205,-0.04394531,-0.05371094
162,-0.03753662,-0.03875732,-0.04302979,-0.05340576
163,-0.05401611,-0.04608154,-0.02655029,-0.0189209
164,-0.03997803,-0.03936768,-0.009460449,0.002441406
165,-0.02349854,-0.03051758,-0.003356934,0.009155273
166,-0.01312256,-0.02746582,-0.01281738,0.006408691
167,-0.009460449,-0.01373291,-0.01190186,-0.0003051758
168,-0.01190186,-0.01678467,-0.01617432,-0.01312256
169,-0.02319336,-0.02685547,-0.03265381,-0.02655029
170,-0.03692627,-0.03814697,-0.03387451,-0.02166748
171,-0.03479004,-0.03387451,-0.03234863,-0.01312256
172,-0.04058838,-0.03265381,-0.01190186,0.01617432
173,-0.01983643,-0.02471924,-0.002746582,0.02044678
174,-0.003356934,-0.01373291,-0.003356934,0.01190186
175,-0.001220703,-0.007629395,-0.0100708,0.001220703
176,0.0006103516,-0.003662109,-0.02105713,-0.0289917
177,-0.02502441,-0.01403809,-0.027771,-0.03479004
178,-0.04882813,-0.03570557,-0.04608154,-0.03326416
179,-0.04760742,-0.04058838,-0.04638672,-0.03173828
180,-0.04180908,-0.03326416,-0.02685547,-0.008239746
181,-0.03723145,-0.03204346,-0.009460449,0.0177002
182,-0.01922607,-0.02563477,-0.01617432,0.01373291
183,-0.01159668,-0.01617432,-0.01190186,0.009155273
184,-0.006103516,-0.01739502,-0.01831055,-0.003967285
185,-0.006408691,-0.01312256,-0.027771,-0.02441406
186,-0.01953125,-0.01922607,-0.03173828,-0.03479004
187,-0.02960205,-0.03448486,-0.02532959,-0.03295898
188,-0.03326416,-0.03601074,-0.01586914,-0.005187988
189,-0.02746582,-0.03234863,-0.01800537,0.01434326
190,-0.008239746,-0.01037598,-0.006408691,0.008239746
191,-0.00213623,-0.003356934,0.01190186,0.01861572
192,-0.00213623,-0.01068115,-0.00213623,0.0112915
193,0.0009155273,-0.01342773,-0.03326416,-0.02838135
194,-0.01525879,-0.01220703,-0.04547119,-0.05706787
195,-0.04486084,-0.02502441,-0.03723145,-0.04119873
196,-0.04577637,-0.03692627,-0.03417969,-0.02746582
197,-0.03845215,-0.0378418,-0.03356934,-0.01190186
198,-0.0289917,-0.02197266,-0.009155273,0.01190186
199,-0.01586914,-0.02105713,-0.01617432,0.002746582
200,-0.01037598,-0.01251221,-0.0009155273,0.009765625
201,-0.009155273,-0.01312256,-0.01464844,-0.00579834
202,-0.02044678,-0.02716064,-0.04180908,-0.02532959
203,-0.02166748,-0.0201416,-0.03845215,-0.03295898
204,-0.03601074,-0.03692627,-0.03204346,-0.02929688
205,-0.03326416,-0.03265381,-0.009765625,0.001525879
206,-0.02532959,-0.02502441,-0.0003051758,0.02380371
207,-0.01312256,-0.0177002,-0.008239746,0.02258301
208,-0.001525879,-0.009765625,-0.009460449,0.00579834
209,-0.002746582,-0.0100708,-0.01831055,-0.01281738
210,-0.0177002,-0.01068115,-0.027771,-0.02655029
